Time[s], Channel 1
3.993000000000000, 0
3.996040083333333, 1
3.996191500000000, 0
3.996780666666667, 1
3.997312291666667, 0
3.997530125000000, 1
3.997686375000000, 0
3.998274583333334, 1
3.998430125000000, 0
3.999024500000000, 1
3.999176708333334, 0
3.999765833333333, 1
4.000297625000000, 0
4.000513958333333, 1
4.000667041666667, 0
4.001258083333334, 1
4.001788750000000, 0
4.002005958333333, 1
4.002157166666667, 0
4.002755291666667, 1
4.003277250000000, 0
4.003498916666667, 1
4.003652625000000, 0
4.004245958333334, 1
4.004774375000000, 0
4.004987583333333, 1
4.005145666666666, 0
4.005742125000000, 1
4.006262041666667, 0
4.006483541666667, 1
4.007012041666667, 0
4.007229833333334, 1
4.007757666666667, 0
4.007975083333333, 1
4.008131875000000, 0
4.008719875000001, 1
4.008873166666667, 0
4.009466333333334, 1
4.009619541666667, 0
4.010213000000000, 1
4.010366416666667, 0
4.010967416666667, 1
4.011488958333334, 0
4.011701666666667, 1
4.012235458333334, 0
4.012447750000001, 1
4.012607125000001, 0
4.013196875000000, 1
4.013356458333334, 0
4.013944250000001, 1
4.014096416666667, 0
