Time[s], Channel 1
4.200000000000000, 0
4.200500458333334, 1
4.200638500000000, 0
4.201248041666667, 1
4.201754958333334, 0
4.201995333333334, 1
4.202128083333333, 0
4.202731791666667, 1
4.202872208333334, 0
4.203480750000001, 1
4.203616708333334, 0
4.204227500000000, 1
4.204733666666667, 0
4.204967875000000, 1
4.205106000000001, 0
4.205713125000000, 1
4.206223333333334, 0
4.206469125000000, 1
4.206596000000000, 0
4.207208250000000, 1
4.207712250000000, 0
4.207951041666667, 1
4.208085375000000, 0
4.208694208333333, 1
4.209202125000000, 0
4.209440208333334, 1
4.209574666666667, 0
4.210188000000000, 1
4.210691666666666, 0
4.210927583333334, 1
4.211063625000000, 0
4.211684750000000, 1
4.212181500000001, 0
4.212418208333333, 1
4.212553875000000, 0
4.213165750000000, 1
4.213298500000001, 0
4.213905541666667, 1
4.214416000000000, 0
4.214653625000000, 1
4.215160708333333, 0
4.215395500000001, 1
4.215913833333333, 0
4.216144125000000, 1
4.216650416666667, 0
4.216887958333333, 1
4.217022833333334, 0
4.217634041666667, 1
4.217767875000000, 0
4.218378333333334, 1
4.218512458333334, 0
