Time[s], Channel 1
2.730000000000000, 0
2.734118291666667, 1
2.734256583333333, 0
2.734869291666667, 1
2.735374875000000, 0
2.735612916666667, 1
2.735747875000000, 0
2.736356833333334, 1
2.736493416666667, 0
2.737106625000000, 1
2.737239208333333, 0
2.737849875000000, 1
2.738357208333333, 0
2.738590500000000, 1
2.738734291666667, 0
2.739332583333333, 1
2.739853333333333, 0
2.740075916666667, 1
2.740225416666667, 0
2.740834708333333, 1
2.741341166666667, 0
2.741578625000000, 1
2.741713875000000, 0
2.742325208333333, 1
2.742833125000000, 0
2.743071291666667, 1
2.743205916666667, 0
2.743815041666667, 1
2.744324208333333, 0
2.744565541666667, 1
2.744697833333333, 0
2.745310916666667, 1
2.745816416666667, 0
2.746054208333334, 1
2.746562541666667, 0
2.746800416666667, 1
2.747308041666667, 0
2.747547125000000, 1
2.747681083333334, 0
2.748296958333333, 1
2.748426541666667, 0
2.749039083333333, 1
2.749545541666667, 0
2.749788333333334, 1
2.750291583333333, 0
2.750534833333333, 1
2.750664250000000, 0
2.751282333333334, 1
2.751410083333333, 0
2.752022833333334, 1
2.752155708333333, 0
