Time[s], Channel 1
2.970000000000000, 0
2.972350500000000, 1
2.972488500000000, 0
2.973100083333334, 1
2.973607166666667, 0
2.973843458333334, 1
2.973980458333334, 0
2.974591500000000, 1
2.974726750000000, 0
2.975332666666667, 1
2.975472958333333, 0
2.976092583333334, 1
2.976591916666667, 0
2.976831750000000, 1
2.976965041666667, 0
2.977576666666667, 1
2.978085000000000, 0
2.978320250000000, 1
2.978457333333334, 0
2.979076291666667, 1
2.979577541666667, 0
2.979813583333334, 1
2.979950333333333, 0
2.980557833333334, 1
2.981069125000000, 0
2.981305041666667, 1
2.981442541666667, 0
2.982050458333334, 1
2.982561750000000, 0
2.982799333333333, 1
2.982935125000000, 0
2.983546000000000, 1
2.984054750000000, 0
2.984295875000000, 1
2.984800875000000, 0
2.985041208333334, 1
2.985547125000000, 0
2.985789666666667, 1
2.985920458333334, 0
2.986530250000000, 1
2.986666708333333, 0
2.987276333333333, 1
2.987412958333334, 0
2.988021791666667, 1
2.988158875000000, 0
2.988769875000000, 1
2.989278583333333, 0
2.989519833333333, 1
2.990024125000000, 0
2.990258333333334, 1
2.990397833333334, 0
