Time[s], Channel 1
2.100000000000000, 0
2.108706666666667, 1
2.108895166666667, 0
2.109457583333334, 1
2.110014416666667, 0
2.112658166666667, 1
2.112994416666667, 0
2.114061958333334, 1
2.114062750000000, 0
2.114062791666667, 1
2.114486583333334, 0
2.114802458333334, 1
2.114859416666667, 0
2.115520875000000, 1
2.115978250000000, 0
2.116263333333333, 1
2.116351791666667, 0
2.117002666666667, 1
2.117469916666667, 0
2.117747625000000, 1
2.117842958333334, 0
2.118484125000000, 1
2.118962291666667, 0
2.119227000000000, 1
2.119708541666667, 0
2.119974083333334, 1
2.120454958333334, 0
2.120715833333334, 1
2.120828041666667, 0
2.121454291666667, 1
2.121573708333333, 0
2.122199500000000, 1
2.122319625000000, 0
2.122948666666667, 1
2.123065583333334, 0
2.123690875000000, 1
2.123811791666667, 0
2.124430041666667, 1
2.124557791666667, 0
2.125176583333333, 1
2.125677125000000, 0
2.125920791666667, 1
2.126423541666667, 0
2.126668916666667, 1
2.126796458333334, 0
